rok;ms;dz;godz;fco2_MQ;fco2_HQ;fco2_raw;glwody;T50cm;T2m;Kd;Ku;Ld;Lu;ppp;v;vdir;Tgrunt;vwc;PARd;PARu
2013;1;1;0.5;0.15;;0.15;5.2;1.2;1.5;0.0;0.9;249.3;322.9;998.5;3.4;210.5;0.6;0.785;0.0;0.0
2013;1;1;1.5;-0.6;;-0.6;5.2;0.9;1.2;0.0;1.0;249.5;323.5;998.1;3.3;202.5;0.6;0.785;0.0;0.0
2013;1;1;2.5;0.57;;0.57;5.4;0.7;1.0;0.0;1.0;249.7;324.0;997.6;3.3;201.6;0.6;0.785;0.0;0.0
2013;1;1;3.5;0.03;;0.03;5.5;0.3;0.6;0.0;0.9;250.0;324.5;997.2;2.6;191.6;0.6;0.785;0.0;0.0
2013;1;1;4.5;0.03;;0.03;5.5;-0.4;-0.0;0.0;1.5;250.2;325.1;996.8;2.2;189.1;0.6;0.785;0.0;0.0
2013;1;1;5.5;0.12;;0.12;5.4;-0.3;-0.0;0.0;1.5;250.4;325.6;996.5;2.5;190.7;0.6;0.784;0.0;0.0
2013;1;1;6.5;-0.06;;-0.06;5.5;-0.4;-0.1;0.0;1.6;250.6;326.2;996.2;2.8;193.6;0.6;0.784;0.0;0.0
2013;1;1;7.5;-0.1;;-0.1;5.4;-0.6;-0.3;0.6;2.0;250.8;326.7;996.2;3.0;194.3;0.6;0.784;4.5;0.1
2013;1;1;8.5;-0.1;;-0.1;5.1;-0.2;-0.2;33.3;8.7;251.0;327.2;996.1;3.1;195.5;0.6;0.784;67.3;7.6
2013;1;1;9.5;;;-0.33;5.5;1.1;0.6;123.6;26.0;251.2;327.8;995.8;3.8;192.0;0.6;0.784;247.3;28.7
2013;1;1;10.5;;;-0.75;5.3;2.3;1.6;160.1;28.2;251.4;328.3;995.4;4.4;196.8;0.6;0.784;321.9;37.2
2013;1;1;11.5;;;-0.47;5.4;2.9;2.2;182.4;33.2;251.6;328.9;995.1;5.0;205.5;0.6;0.784;367.8;44.4
2013;1;1;12.5;;;-0.36;5.1;3.8;2.7;183.0;37.4;251.9;329.4;995.3;4.8;205.1;0.6;0.784;364.3;46.1
2013;1;1;13.5;;;-0.38;4.9;3.8;2.7;127.8;27.4;252.1;329.9;994.9;3.7;193.3;0.6;0.784;249.9;31.0
2013;1;1;14.5;-0.14;;-0.14;5.0;1.6;1.5;47.2;9.3;255.3;318.6;994.8;3.1;187.7;0.6;0.784;89.2;9.9
2013;1;1;15.5;0.03;;0.03;5.2;0.1;0.5;2.0;1.8;248.7;313.5;994.8;2.5;185.7;0.6;0.784;8.3;0.4
2013;1;1;16.5;0.12;;0.12;5.3;0.1;0.4;0.0;1.6;240.0;311.9;994.8;3.5;172.7;0.6;0.784;0.0;0.0
2013;1;1;17.5;-0.0;;-0.0;5.4;0.0;0.3;0.0;1.3;254.0;311.7;994.7;2.6;184.1;0.6;0.784;0.0;0.0
2013;1;1;18.5;0.07;;0.07;5.2;0.2;0.6;0.0;1.3;253.0;311.8;994.6;2.8;189.5;0.6;0.784;0.0;0.0
2013;1;1;19.5;-0.05;;-0.05;5.3;0.1;0.4;0.0;1.2;267.5;325.1;994.5;2.9;182.9;0.6;0.784;0.0;0.0
2013;1;1;20.5;-0.03;;-0.03;5.2;0.4;0.7;0.0;1.0;268.3;325.1;994.6;2.6;190.2;0.6;0.784;0.0;0.0
2013;1;1;21.5;-0.07;;-0.07;5.3;0.6;0.9;0.0;0.9;269.1;325.1;994.6;2.9;194.5;0.6;0.784;0.0;0.0
2013;1;1;22.5;0.1;;0.1;5.0;0.7;1.0;0.0;1.0;269.9;325.0;994.8;3.1;201.6;0.6;0.784;0.0;0.0
2013;1;1;23.5;0.01;;0.01;4.9;0.2;0.5;0.0;1.2;270.6;325.0;994.8;2.7;203.3;0.6;0.784;0.0;0.0
2013;1;2;0.5;-0.01;;-0.01;5.3;0.3;0.5;0.0;1.1;271.4;325.0;994.8;3.3;210.4;0.6;0.784;0.0;0.0
2013;1;2;1.5;-0.26;;-0.26;5.3;0.7;0.8;0.0;0.5;272.2;324.9;995.0;3.3;208.8;0.6;0.784;0.0;0.0
2013;1;2;2.5;-0.12;;-0.12;4.8;0.4;0.6;0.0;0.6;273.0;324.9;995.4;2.9;205.4;0.6;0.784;0.0;0.0
2013;1;2;3.5;-0.08;;-0.08;5.0;0.8;0.9;0.0;0.1;273.7;324.9;995.7;3.8;208.4;0.6;0.784;0.0;0.0
2013;1;2;4.5;;;-0.19;4.8;0.8;0.8;0.0;0.1;274.5;324.8;996.1;3.9;209.2;0.6;0.784;0.0;0.0
2013;1;2;5.5;-0.07;;-0.07;5.0;0.7;0.8;0.0;0.1;275.3;324.8;996.4;3.4;210.5;0.6;0.784;0.0;0.0
